ZIPN,ZIPA,RUCA2,ZIPTYP,PARZIP,LINF1,LINF4,TTIM1A,TTIM4A,FASTA,TDIS1A,TDIS4A,SHORTA,TTIM1B,TTIM4B,FASTB,TDIS1B,TDIS4B,SHORTB,UP1SZ,UP2SZ,FIPSST,STATE,MST,UUSZ,UTYP,POPCAT5
54855,54855,8,1,54855,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,4
54856,54856,10.3,1,54856,2,2,5,6,1,4,5,1,5,6,1,4,5,1,-9,-9,55,WI,,-9,-9,5
54857,54857,10,2,54817,2,2,5,6,1,4,4,1,5,6,1,4,4,1,-9,-9,55,WI,,-9,-9,1
54858,54858,10.4,1,54858,2,2,4,5,1,3,3,1,4,5,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54859,54859,10,1,54859,2,2,4,5,1,3,3,1,4,5,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54861,54861,7,2,54806,2,2,5,6,1,4,6,1,5,6,1,4,6,1,-9,-9,55,WI,,-9,-9,1
54862,54862,10,1,54862,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,3
54864,54864,2,1,54864,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54865,54865,10.4,1,54865,2,2,4,6,1,3,5,1,4,6,1,3,5,1,-9,-9,55,WI,,-9,-9,3
54867,54867,10,1,54867,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,3
54868,54868,7,1,54868,2,2,3,4,1,3,3,1,3,4,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54870,54870,7,1,54870,2,2,4,6,1,4,4,1,4,6,1,4,4,1,-9,-9,55,WI,,-9,-9,5
54871,54871,10.6,1,54871,2,2,5,6,1,5,4,2,5,6,1,5,4,2,-9,-9,55,WI,,-9,-9,5
54872,54872,10,1,54872,2,2,6,6,1,4,4,1,6,6,1,4,4,1,-9,-9,55,WI,,-9,-9,5
54873,54873,2,1,54873,2,2,3,5,1,2,4,1,3,5,1,2,4,1,-9,-9,55,WI,,-9,-9,5
54874,54874,2,1,54874,2,2,1,3,1,1,1,1,1,3,1,1,1,1,-9,-9,55,WI,,-9,-9,5
54875,54875,10,1,54875,2,2,5,6,1,4,6,1,5,6,1,4,6,1,-9,-9,55,WI,,-9,-9,5
54876,54876,10,1,54876,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,5
54880,54880,1,1,54880,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54888,54888,8,1,54888,2,2,5,6,1,4,4,1,5,6,1,4,4,1,-9,-9,55,WI,,-9,-9,5
54889,54889,10.6,1,54889,2,2,4,4,2,4,3,2,4,4,2,4,3,2,-9,-9,55,WI,,-9,-9,5
54890,54890,10,2,54859,2,2,4,5,1,3,3,1,4,5,1,3,3,1,-9,-9,55,WI,,-9,-9,1
54891,54891,10.3,1,54891,2,2,5,6,1,4,6,1,5,6,1,4,6,1,-9,-9,55,WI,,-9,-9,5
54893,54893,10,1,54893,2,2,6,6,2,4,4,2,6,6,2,4,4,2,-9,-9,55,WI,,-9,-9,5
54895,54895,10.6,1,54895,2,2,4,5,1,3,4,1,4,5,1,3,4,1,-9,-9,55,WI,,-9,-9,5
54896,54896,10,1,54896,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,5
54901,54901,1,1,54901,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54902,54902,1,1,54902,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54903,54903,1,2,54902,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54904,54904,1,1,54904,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54906,54906,1,2,54904,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54909,54909,5,1,54909,2,2,3,1,2,3,1,2,3,1,2,3,1,2,-9,-9,55,WI,,-9,-9,5
54911,54911,1,1,54911,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54912,54912,1,2,54911,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54913,54913,1,1,54913,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54914,54914,1,1,54914,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54915,54915,1,1,54915,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54919,54919,1,2,54913,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54921,54921,5,1,54921,2,2,2,1,2,2,1,2,2,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54922,54922,2,1,54922,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54923,54923,7.3,1,54923,2,2,2,3,1,1,2,1,2,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54926,54926,10,2,54486,2,2,2,3,1,2,2,1,2,3,1,2,2,1,-9,-9,55,WI,,-9,-9,1
54927,54927,2,2,54963,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54928,54928,9,1,54928,2,2,3,4,1,2,3,1,3,4,1,2,3,1,-9,-9,55,WI,,-9,-9,3
54929,54929,7,1,54929,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54930,54930,10,1,54930,2,2,3,2,2,3,2,2,3,2,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54931,54931,2,2,54944,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54932,54932,2,1,54932,2,2,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,55,WI,,-9,-9,4
